"Region","Site","Unit","Batch","Species","Start.Fish.Density","End.Fish.Density","Hatchery","Lot.Quality","Origin.Year","Origin.Month","From","From.Month","From.Year","To","To.Month","To.Year","Diff.Days","Start.Av.Weight","End.Av.Weight","Period.Av.Weight","Av.Weight.Change","Model.End.Av.Wt.Act.Feed","Av.Wt.Deviation.Perc","Av.Wt.Before.Sampl","Model.End.Av.Wt.Sugg.Feed","Actual.Feed","Feed.Category","Supplier","Period.Feed.Qty","Model.Feed.Qty","Feed.Deviation.Perc","Opening.Fish.No","Opening.Biomass","Closing.Fish.No","Closing.Biomass","Harvest.Biomass","Transfer.Minus.Kg","Transfer.Plus.Kg","Biomass.Produced","Biomass.Produced.Before.Sampl","Biol.FCR.Period","Econ.FCR.Period","Econ.FCR.Period.Before.Sampl","Mortality.No","LTD.Mortality.Kg","Model.Mortality.No","Mortality.Deviation.Perc","Mortality.Perc","SFR.Period.Perc","SFR.Period.Perc.Before.Sampl","SGR.Period.Perc","FCR.bio.*.SGR","Growth.Per.Day","TGC.Period","Avg.Temp","Av.Oxygene","Period.Day.Degrees","Start.Av.Weight.Category","End.Av.Weight.Category","Max.Feed.Qty","Food.Price","Current.Grading","Feeding.Policy","Group.Tag","Vaccinated","Feeder","Feeding.Rate.Kg.Per.Hour","Fastings.No","Transfer.Minus.No","Transfer.Plus.No","Harvest.No","Sampling.No","LTD.Econ.FCR","LTD.Mortality.No","LTD.Mortality.Perc","LTD.Adjustment.No","LTD.Adjustment.Perc","LTD.Adjustment.&.Mortality.No","LTD.Adjustment.&.Mortality.Perc"
"Γαλαξίδι","Ανεμοκάμπι","537","1405 T07 D2.GT1.1","Τσιπούρα",3.03,4.67,"Γ.Θ. Κ. Α.Ε. - Τράχηλας Δεσφίνας",NA,"2014","May",2014-08-01,"August","2014",2014-08-31,"August","2014",30,20.68,32,26.34,11.32,32.37,-1.14,28.67,43,"IRIDA Power 2,0mm","IRIDA POWER","ΙΡΙΔΑ Α.Ε.",3570,7113.25,49.81,292755,6054.17,291920,9341.44,0,0,0,3287.27,2315.17,1.08,1.09,1.54,835,106.9,62,-1246.77,0.29,1.57,1.66,1.46,1.58,0.38,0.55,25.24,0,783,"A. <50","A. <50",3495,1.61,NA,"Τσιπούρα - Active 2013","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,2,0,1,0,1,1.17,6080,2.04,0,0,6080,2.04
"Γαλαξίδι","Ανεμοκάμπι","537","1407 Λ06 D3/GD3.GL3","Λαβράκι",3.22,4.13,"Γ.Θ. Κ. Α.Ε. - Τράχηλας Δεσφίνας",NA,"2014","July",2015-01-31,"January","2015",2015-02-19,"February","2015",19,70,76.17,73.09,6.17,71.56,6.44,67.7,71.73,"IRIDA Smart 3,0mm K","IRIDA SMART","ΙΡΙΔΑ Α.Ε.",825,908.38,9.18,92078,6445.46,108374,8254.85,0,0,758.07,1051.32,133.39,0.76,0.78,6.18,630,202.24,20,-3050,0.68,1.02,4.22,0.44,0.33,0.32,0.42,13.85,0,277,"B. 50-100","B. 50-100",750,1.24,"Β","Λαβράκι - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Checked",NA,0,7,0,2,0,2,1.74,11054.43,9.65,-4825.7,-4.21,6228.73,5.44
"Γαλαξίδι","Ανεμοκάμπι","528","1402 T02 G1.GT1","Τσιπούρα",0.24,0.43,"Γ. Θ. Κ. Α.Ε. - Γαλαξίδι",NA,"2014","February",2014-02-28,"February","2014",2014-03-31,"March","2014",31,1.5,2.7,2.1,1.2,2.56,5.47,2.55,2.03,"IRIDA Power 1,0mm","IRIDA POWER","ΙΡΙΔΑ Α.Ε.",640,324.25,-97.38,321765,482.65,321660,868.48,0,0,0,385.83,337.59,1.66,1.66,1.9,105,0.48,64,-64.06,0.03,3.14,3.24,1.9,3.15,0.04,0.54,14.34,0,457,"A. <50","A. <50",422,2.17,NA,"Τσιπούρα - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,1.53,340,0.11,0,0,340,0.11
"Γαλαξίδι","Ανεμοκάμπι","528","1402 T02 G1.GT1","Τσιπούρα",0.43,0.72,"Γ. Θ. Κ. Α.Ε. - Γαλαξίδι",NA,"2014","February",2014-03-31,"March","2014",2014-04-30,"April","2014",30,2.7,4.5,3.6,1.8,4.31,4.41,4.26,3.71,"IRIDA Power 1,0mm","IRIDA POWER","ΙΡΙΔΑ Α.Ε.",930,564.52,-64.74,321660,868.48,321220,1445.49,0,0,0,577.01,499.92,1.61,1.61,1.86,440,1.99,62,-609.68,0.14,2.74,2.82,1.7,2.73,0.06,0.57,14.77,0,453,"A. <50","A. <50",850,2.17,NA,"Τσιπούρα - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,1.54,780,0.24,0,0,780,0.24
"Γαλαξίδι","Ανεμοκάμπι","528","1402 T02 G1.GT1","Τσιπούρα",0.72,0.96,"Γ. Θ. Κ. Α.Ε. - Γαλαξίδι",NA,"2014","February",2014-04-30,"April","2014",2014-05-20,"May","2014",20,4.5,6,5.25,1.5,5.69,5.45,5.63,5.84,"IRIDA Power 1,0mm","IRIDA POWER","ΙΡΙΔΑ Α.Ε.",585,661.46,11.56,321220,1445.49,321110,1926.66,0,0,0,481.17,362.36,1.21,1.22,1.61,110,2.52,42,-161.9,0.03,1.75,1.81,1.44,1.75,0.08,0.52,15.21,0,320,"A. <50","A. <50",460,2.17,NA,"Τσιπούρα - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,1.42,890,0.28,0,0,890,0.28
"Γαλαξίδι","Ανεμοκάμπι","528","1402 T02 G1.GT1","Τσιπούρα",0.96,1.2,"Γ. Θ. Κ. Α.Ε. - Γαλαξίδι",NA,"2014","February",2014-05-20,"May","2014",2014-05-31,"May","2014",11,6,7.5,6.75,1.5,7.15,4.9,6.12,7.67,"IRIDA Power 1,0mm","IRIDA POWER","ΙΡΙΔΑ Α.Ε.",445,641.74,30.66,321110,1926.66,320410,2403.07,0,0,0,476.42,34.25,0.93,0.93,12.99,710,6.76,24,-2858.33,0.22,1.88,2.08,2.03,1.88,0.14,0.66,17.54,0,212,"A. <50","A. <50",240,2.17,NA,"Τσιπούρα - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,1.29,1590,0.49,0,0,1590,0.49
"Γαλαξίδι","Ανεμοκάμπι","528","1402 T02 G1.GT1","Τσιπούρα",1.2,2.04,"Γ. Θ. Κ. Α.Ε. - Γαλαξίδι",NA,"2014","February",2014-05-31,"May","2014",2014-06-30,"June","2014",30,7.5,13,10.25,5.5,13.06,-0.46,11.2,16.3,"IRIDA Power 1,5mm","IRIDA POWER","ΙΡΙΔΑ Α.Ε.",1800,2873.95,37.37,320410,2403.07,313780,4079.14,0,0,0,1676.07,1111.26,1.03,1.07,1.62,6630,70.14,62,-10593.55,2.07,1.89,2.05,1.83,1.89,0.18,0.63,20.21,0,627,"A. <50","A. <50",1380,1.93,NA,"Τσιπούρα - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,1.18,8220,2.55,0,0,8220,2.55
"Γαλαξίδι","Ανεμοκάμπι","526","1506 T11 DT2.05","Τσιπούρα",0.9,1.64,"Γ.Θ. Κ. Α.Ε. - Τράχηλας Δεσφίνας",NA,"2015","June",2015-07-31,"July","2015",2015-08-18,"August","2015",18,15,27.58,21.29,12.58,25.91,6.45,24.87,26.22,"IRIDA Power 1,5mm","IRIDA POWER","ΙΡΙΔΑ Α.Ε.",1620,1666.39,2.78,143760,2156.4,142710,3935.94,0,0,0,1779.54,1392.8,0.91,0.91,1.16,50,9.17,19,-163.16,0.03,3.04,3.22,3.38,3.08,0.7,1.12,26.26,0,494,"A. <50","A. <50",1445,1.93,"δ","Τσιπούρα - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,0.99,1674.29,1.15,1000,0.69,2674.29,1.84
"Γαλαξίδι","Ανεμοκάμπι","526","1506 T11 DT2.05","Τσιπούρα",1.64,2.2,"Γ.Θ. Κ. Α.Ε. - Τράχηλας Δεσφίνας",NA,"2015","June",2015-08-18,"August","2015",2015-08-31,"August","2015",13,27.58,37,32.29,9.42,37.79,-2.09,37.78,38.59,"IRIDA Power 1,5mm","IRIDA POWER","ΙΡΙΔΑ Α.Ε.",1600,1735.41,7.8,142710,3935.94,142640,5277.68,0,0,0,1341.74,1453,1.19,1.19,1.1,70,11.24,14,-400,0.05,2.69,2.66,2.26,2.69,0.72,0.85,25.96,0,364,"A. <50","A. <50",1275,1.93,"δ","Τσιπούρα - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,1.05,1744.29,1.2,1000,0.69,2744.29,1.89
"Γαλαξίδι","Ανεμοκάμπι","526","1506 T11 DT2.05","Τσιπούρα",2.2,3.74,"Γ.Θ. Κ. Α.Ε. - Τράχηλας Δεσφίνας",NA,"2015","June",2015-08-31,"August","2015",2015-09-30,"September","2015",30,37,63,50,26,63.74,-1.16,63.18,66.43,"IRIDA Power 2,0mm","IRIDA POWER","ΙΡΙΔΑ Α.Ε.",4575,5057.01,9.53,142640,5277.68,142565,8981.59,0,0,0,3703.91,3729.58,1.23,1.24,1.23,75,15.33,31,-141.94,0.05,2.19,2.19,1.77,2.18,0.87,0.82,25.31,0,786,"A. <50","B. 50-100",4200,1.61,"δ","Τσιπούρα - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,1.11,1819.29,1.25,1000,0.69,2819.29,1.94
